name,price,main_category,sub_category,,url,image_url,discount
Lipton Yellow Label Black Tea 25 Teabags,Rs. 299,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-black-tea-25-teabags/22636227,https://metro-b2c.s3.amazonaws.com/Products/1763636853561.jpg,Best Price
Lipton Yellow Label Black Tea 100 Tea Bags,"Rs. 1,099",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-black-tea-100-tea-bags/12625511,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1763637011938.jpg,Best Price
Vital Tea Bag 600 PCS,"Rs. 3,299",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/vital-tea-bag-600-pcs/12628356,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12628356-0-M.jpg,
Lipton Yellow Label Danedar 900GM,"Rs. 1,979",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-danedar-900gm/80747169,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1752221140253.jpg,Best Price
Vital Tea Leaves 900GM,"Rs. 1,799",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/vital-tea-leaves-900gm/12627514,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12627514-0-M.jpg,6% OFF - 11.11 Offer
Lipton Yellow Label Black Tea Danedar Jar 475GM,"Rs. 1,465",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-black-tea-danedar-jar-475gm/12620298,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12620298-0-M.jpg,Best Price
Tapal Green Tea Bags Elaichi 30Pcs,Rs. 249,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-green-tea-bags-elaichi-30pcs/12622244,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12622244-0-M.jpg,
BrookeBond Supreme Black Tea 80GM,Rs. 190,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/brookebond-supreme-black-tea-80gm/12639994,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639994-0-M.jpg,Market Say Sasta
Tapal Lemon Grass Jar 100 GM,Rs. 275,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-lemon-grass-jar-100-gm/12624377,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624377-0-M.jpg,
Tez Dum Hard Packs 190 GM,Rs. 379,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tez-dum-hard-packs-190-gm/12625177,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625177-0-M.jpg,
Vital Tea Bag 50 Pcs,Rs. 495,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/vital-tea-bag-50-pcs/12625977,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625977-0-M.jpg,
Tapal Black Tea Teabags 200 GM,Rs. 899,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-black-tea-teabags-200-gm/12621916,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12621916-0-M.jpg,12% OFF
Tapal Green Tea Leaves Jasmine 100GM,Rs. 299,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-green-tea-leaves-jasmine-100gm/12634673,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12634673-0-M.jpg,
Tapal Tea Family Mixture Hard Pack 80GM,Rs. 189,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-tea-family-mixture-hard-pack-80gm/12622152,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12622152-0-M.jpg,Market Say Sasta
Tapal Green Teabag Jasmine 30 Pcs,Rs. 249,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-green-teabag-jasmine-30-pcs/12621902,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12621902-0-M.jpg,
Vital Tea Round Tea Bags 80 Pack,Rs. 999,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/vital-tea-round-tea-bags-80-pack/12642741,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12642741-0-M.jpg,
Tapal Family Mixture Black Tea 1650GM,"Rs. 3,199",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/tapal-family-mixture-black-tea-1650gm/12639910,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12639910-0-M.jpg,
Vital Tea Leaves 430GM,Rs. 893,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/vital-tea-leaves-430gm/12625969,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12625969-0-M.jpg,8% OFF - Anniversary Offer
Danedar Black Tea Leaves 85 GM,Rs. 185,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/danedar-black-tea-leaves-85-gm/12621018,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12621018-0-M.jpg,7% OFF - 11.11 Offer
Lipton Yellow Label 170G,Rs. 395,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-170g-/81090794,https://metro-b2c.s3.amazonaws.com/Products/1752220677667.jpg,Best Price
Lipton Yellow Label Tea 1.75 Kg,"Rs. 3,499",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-tea-1.75-kg/12629687,https://metro-b2c.s3.amazonaws.com/Products/1752664900262.jpg,Best Price
Lipton Yellow Label 85G,Rs. 200,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-85g-/81090798,https://metro-b2c.s3.amazonaws.com/Products/1752220789126.jpg,Use LIPTON5 for 5% Off
Lipton Yellow Label 430G,"Rs. 1,059",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-yellow-label-430g-/81090789,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1752220509792.jpg,Best Price
Hardum Mezan Chai Danedar Pouch 900 GM,"Rs. 1,779",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/hardum-mezan-chai-danedar-pouch-900-gm/12634590,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12634590-0-M.jpg,2% OFF
Brookebond Supreme 900G,"Rs. 1,680",Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/brookebond-supreme-900g-/81090793,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/Products/1752220629406.jpg,Best Price
Meezan Ultra Rich Pouch 280G,Rs. 499,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/meezan-ultra-rich-pouch-280g/2445025,https://metro-b2c.s3.amazonaws.com/Products/1722848550146.jpg,
Lipton Mega Dana 170gm CP,Rs. 395,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/lipton-mega-dana-170gm-cp/40634015,https://metro-b2c.s3.amazonaws.com/Products/1763371841312.jpg,
Everyday Masala 3In1 20g,Rs. 80,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/everyday-masala-3in1-20g/40634013,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/333735.jpeg,
Everyday Vanilla 3In1 20g,Rs. 80,Tea and Coffee,Tea,,https://www.metro-online.pk/detail/grocery/tea-and-coffee/tea/everyday-vanilla-3in1-20g/40634011,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/333732.jpeg,
