product_name,discounted_price,original_price,product_url,image_url
Himalaya Apricot Face Wash 10,575,580,https://www.rahimstore.com/product/1514,https://www.rahimstore.com/img/products/047/1514.jpg?1766497377
Himalaya Aloe Vera Face Wash 1,580,580,https://www.rahimstore.com/product/1516,https://www.rahimstore.com/img/products/047/1516.jpg?1766497377
Himalaya Oil Control Face Wash,695,699,https://www.rahimstore.com/product/1519,https://www.rahimstore.com/img/products/047/1519.jpg?1766497377
Himalaya Purifying Neem Face W,620,620,https://www.rahimstore.com/product/1524,https://www.rahimstore.com/img/products/047/1524.jpg?1766497377
Himalaya Aloe Vera Face Wash,350,350,https://www.rahimstore.com/product/1526,https://www.rahimstore.com/img/products/047/1526.jpg?1766497377
Himalaya Complexion Face Wash,350,350,https://www.rahimstore.com/product/1529,https://www.rahimstore.com/img/products/047/1529.jpg?1766497377
Kiwi Liquid Polish Dark Tan 75,395,450,https://www.rahimstore.com/product/1848,https://www.rahimstore.com/img/products/051/1848.jpg?1766497396
Power Plus Black Shoe Shine 75,290,290,https://www.rahimstore.com/product/1853,https://www.rahimstore.com/img/products/053/1853.jpg?1766497396
Cherry Blossom Black Polish 90,995,999,https://www.rahimstore.com/product/1856,https://www.rahimstore.com/img/products/051/1856.jpg?1766497396
Power Plus Black Polish 44ml,230,230,https://www.rahimstore.com/product/1862,https://www.rahimstore.com/img/products/051/1862.jpg?1766497396
Cherry Blossom Dark Tan 42ml,645,650,https://www.rahimstore.com/product/1864,https://www.rahimstore.com/img/products/051/1864.jpg?1766497396
Kiwi Shoe Cream Light Tan Tube,390,430,https://www.rahimstore.com/product/1865,https://www.rahimstore.com/img/products/051/1865.jpg?1766497396
Kiwi Shoe Cream White Tube 45m,390,430,https://www.rahimstore.com/product/1866,https://www.rahimstore.com/img/products/051/1866.jpg?1766497396
Kiwi Express Shoe Shiner Spong,350,370,https://www.rahimstore.com/product/1867,https://www.rahimstore.com/img/products/053/1867.jpg?1766497396
